,away_WP,to_WP,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
11/23/14,2857,1940,6,1351,6,18,12,4,9,16,6,6,6,6,6,6
11/24/14,1952,1965,0,1364,4,22,12,4,9,20,10,10,10,10,10,10
11/25/14,2010,2337,1,1691,2.666666667,22,12,4,9,23,12.66666667,6.666666667,12.66666667,12.66666667,12.66666667,12.66666667
11/26/14,2654,4467,2,3504,8,31,26,8,19,31,20.66666667,10.66666667,14.66666667,20.66666667,20.66666667,20.66666667
11/27/14,1843,2738,3,4399,0,30,26,8,19,31,20.66666667,8,10.66666667,14.66666667,20.66666667,20.66666667
11/28/14,3906,5106,4,5599,0,29,43,18,31,31,20.66666667,0,8,10.66666667,14.66666667,14.66666667
11/29/14,5075,3274,5,3798,0,27,44,18,31,31,20.66666667,0,0,8,10.66666667,10.66666667
11/30/14,5192,1914,6,520,0,26,43,18,31,31,14.66666667,0,0,0,8,8
12/1/14,1995,1564,0,89,0,25,43,18,31,31,10.66666667,0,0,0,0,0
12/2/14,1694,1688,1,83,0,24,43,18,31,31,8,0,0,0,0,0
12/3/14,1676,1725,2,132,0,24,43,18,31,31,0,0,0,0,0,0
12/4/14,1765,2024,3,391,0,23,43,15,31,31,0,0,0,0,0,0
12/5/14,2008,3937,4,2320,0,22,43,15,31,31,0,0,0,0,0,0
12/6/14,3818,4376,5,2878,1,22,43,18,31,32,1,1,1,1,1,1
12/7/14,4686,2455,6,647,0,22,43,18,31,32,1,1,1,1,1,1
12/8/14,1941,1680,0,386,0,22,43,16,31,32,1,0,1,1,1,1
12/9/14,1745,1673,1,314,0,22,43,15,31,32,1,0,0,1,1,1
12/10/14,1860,1869,2,323,0,22,43,15,31,32,1,0,0,0,1,1
12/11/14,1918,2112,3,517,0,22,48,15,34,32,1,0,0,0,0,0
12/12/14,2146,3909,4,2280,0,21,47,15,33,32,1,0,0,0,0,0
12/13/14,3287,3720,5,2713,0,21,63,20,45,32,0,0,0,0,0,0
12/14/14,4191,2490,6,1012,5.5,23,68,19,46.5,37,5.5,5.5,5.5,5.5,5.5,5.5
12/15/14,2765,2395,0,642,12,37,71,19,50,49,17.5,17.5,17.5,17.5,17.5,17.5
12/16/14,2183,2228,1,687,1,34,77,16,54,50,18.5,13,18.5,18.5,18.5,18.5
12/17/14,2186,2275,2,776,1,33,74,16,52,51,19.5,2,14,19.5,19.5,19.5
12/18/14,0,227,3,1003,3,34,85,16,60,54,22.5,4,5,17,22.5,22.5
