,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2014-01-15,2.0,1158.0,1.0,58.0,141.0,17.0,99.0,143.0,31.0,13.0,13.0,20.0,25.0,28.0
2014-01-16,3.0,1213.0,0.0,50.0,138.0,20.0,97.0,143.0,27.5,3.0,9.5,14.0,17.5,23.5
2014-01-17,4.0,1777.0,0.0,49.0,134.0,20.0,94.0,143.0,21.0,0.0,1.0,5.0,14.0,14.0
2014-01-18,5.0,6152.0,0.0,47.0,134.0,23.0,94.0,143.0,14.0,0.0,0.0,1.0,5.0,14.0
2014-01-19,6.0,7321.0,0.0,47.0,134.0,23.0,94.0,143.0,14.0,0.0,0.0,0.0,1.0,5.0
2014-01-20,0.0,4993.0,0.0,47.0,141.0,24.0,99.0,143.0,5.0,0.0,0.0,0.0,0.0,1.0
2014-01-21,1.0,1075.0,0.0,47.0,142.0,23.0,100.0,143.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-01-22,2.0,787.0,0.0,45.0,142.0,19.0,100.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-23,3.0,834.0,0.0,45.0,134.0,19.0,94.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-24,4.0,1578.0,0.0,45.0,134.0,19.0,94.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-25,5.0,5618.0,0.0,44.0,134.0,20.0,94.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-26,6.0,6307.0,0.0,44.0,134.0,23.0,94.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-27,0.0,1805.0,1.0,44.0,142.0,18.0,100.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-28,1.0,1232.0,11.0,56.0,127.0,18.0,89.0,155.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-29,2.0,1206.0,0.0,56.0,127.0,18.0,89.0,155.0,12.0,12.0,12.0,12.0,12.0,12.0
2014-01-30,3.0,1374.0,11.0,60.0,121.0,18.0,85.0,166.0,12.0,11.0,12.0,12.0,12.0,12.0
2014-01-31,4.0,2609.0,13.0,69.0,127.5,20.5,89.5,185.0,29.0,17.0,22.5,28.5,29.0,29.0
2014-02-01,5.0,5648.0,4.0,70.0,135.0,25.0,94.0,196.0,49.0,26.0,37.0,37.0,48.0,49.0
2014-02-02,6.0,5912.0,2.0,72.0,135.0,23.0,94.0,198.0,53.0,18.0,30.0,41.0,41.0,52.0
2014-02-03,0.0,2652.0,0.0,67.0,135.0,20.0,95.0,198.0,54.0,6.0,20.0,32.0,43.0,43.0
2014-02-04,1.0,1770.0,2.0,66.0,135.0,20.0,95.0,200.0,43.0,2.0,6.0,20.0,32.0,43.0
2014-02-05,2.0,1746.0,2.0,66.0,143.0,20.0,100.0,202.0,45.0,2.0,4.0,8.0,22.0,34.0
2014-02-06,3.0,1818.0,3.0,66.0,143.0,20.0,100.0,205.0,36.0,4.0,4.0,6.0,10.0,24.0
2014-02-07,4.0,2601.0,4.0,70.0,143.0,20.0,100.0,209.0,27.0,5.0,7.0,7.0,9.0,13.0
2014-02-08,5.0,6484.0,4.0,70.0,143.0,20.0,100.0,213.0,17.0,7.0,9.0,11.0,11.0,13.0
2014-02-09,6.0,7052.0,6.0,73.0,143.0,23.0,100.0,219.0,17.0,8.0,11.0,13.0,15.0,15.0
2014-02-10,0.0,2781.0,8.0,76.0,143.0,20.0,100.0,227.0,21.0,10.0,14.0,17.0,19.0,21.0
2014-02-11,1.0,2011.0,3.0,76.0,143.0,20.0,100.0,230.0,29.0,14.0,18.0,22.0,25.0,27.0
2014-02-12,2.0,1813.0,0.0,77.0,143.0,20.0,100.0,230.0,30.0,11.0,17.0,21.0,25.0,28.0
2014-02-13,3.0,2002.0,6.0,80.0,143.0,20.0,100.0,236.0,28.0,3.0,11.0,17.0,21.0,25.0
2014-02-14,4.0,3437.0,7.0,83.0,143.0,19.0,100.0,243.0,31.0,6.0,9.0,17.0,23.0,27.0
2014-02-15,5.0,8269.0,1.0,83.0,134.0,24.0,100.0,244.0,34.0,13.0,13.0,16.0,24.0,30.0
2014-02-16,6.0,9742.0,0.0,83.0,135.0,24.0,95.0,244.0,31.0,8.0,14.0,14.0,17.0,25.0
2014-02-17,0.0,7178.0,2.0,80.0,135.0,24.0,95.0,246.0,25.0,1.0,8.0,14.0,14.0,17.0
2014-02-18,1.0,2886.0,0.0,75.0,143.0,20.0,100.0,246.0,19.0,2.0,3.0,10.0,16.0,16.0
2014-02-19,2.0,2192.0,0.0,72.0,140.0,20.0,98.0,246.0,16.0,2.0,2.0,3.0,10.0,16.0
2014-02-20,3.0,2265.0,6.0,77.0,135.0,20.0,95.0,252.0,16.0,0.0,2.0,2.0,3.0,10.0
2014-02-21,4.0,3056.0,,,,,,,,,,,,
2014-02-22,5.0,7214.0,1.0,74.0,135.0,25.0,95.0,253.0,16.0,6.0,6.0,8.0,8.0,9.0
2014-02-23,6.0,7754.0,7.0,76.0,135.0,23.0,95.0,260.0,10.0,7.0,7.0,7.0,9.0,9.0
2014-02-24,0.0,2998.0,0.0,78.0,142.0,20.0,100.0,260.0,16.0,8.0,14.0,14.0,14.0,16.0
2014-02-25,1.0,2018.0,0.0,77.0,142.0,20.0,100.0,260.0,16.0,7.0,8.0,14.0,14.0,14.0
2014-02-26,2.0,2017.0,1.5,75.0,142.0,20.0,100.0,262.0,14.5,0.5,4.0,8.0,11.5,14.5
2014-02-27,3.0,2180.0,0.0,74.0,135.0,19.0,95.0,263.0,17.0,3.0,3.0,3.0,10.0,11.0
2014-02-28,4.0,2884.0,7.0,78.0,135.0,19.0,95.0,270.0,11.0,2.0,3.0,3.0,3.0,10.0
2014-03-01,5.0,6851.0,2.0,79.0,135.0,25.0,95.0,272.0,17.0,7.0,9.0,10.0,10.0,10.0
2014-03-02,,,7.0,83.0,135.0,24.0,95.0,279.0,12.0,9.0,9.0,11.0,12.0,12.0
2014-03-03,,,1.0,82.0,143.0,19.0,100.0,280.0,19.0,9.0,16.0,16.0,18.0,19.0
2014-03-04,1.0,7315.0,1.0,82.0,143.0,19.0,100.0,281.0,20.0,8.0,10.0,17.0,17.0,19.0
2014-03-05,2.0,7293.0,5.0,82.0,143.0,19.0,100.0,286.0,20.0,2.0,9.0,11.0,18.0,18.0
